name,url,price,latin_name,description,germination_info,germination_days
American beech,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-american-beech,8.0,Fagus grandifolia,"American beech is a large deciduous tree native to the eastern parts of Canada and United States. Known for its smooth grey bark that messages can easily be carved into, it grows into a full sized forest tree in good conditions. Leaves are dark green, 4-7cm long, serrated and lighter on the underside. The tree produces small triangular nuts, approximately 1cm long in the fall season. Beech nuts are important as a food source for wildlife. The leaves turn from green to yellow and orange in the autumn. As well, American beech trees can propagate via root shoots, and often small shrub-like trees will begin growing around mature specimens.",Germination: Soak in water for 24 hours. Cold stratify for 90 days. Plant 1-2cm deep in moist potting soil. ,90
American persimmon,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-american-persimmon,10.0,Diospyros virginiana,"American persimmon (plaqueminier de Virginie) is a small to medium-sized tree that produces a sweet orange edible fruit in the fall season. American persimmons grow best in warm sunny climates in Canada such as southern Ontario or British Columbia and do not tolerate extreme cold. The leaves are oval rounded, 10-15cm and dark green with a glossy shine when young. The fruit is orange-yellow in colour, round to oval in shape, 3-5cm in diameter, typically ripening in the late fall and sweetest after cold weather.","Germination: Soak in water for 24 hours, then cold stratify for 90 days. Plant in a well-drained, sunny location.",90
Austrian black pine,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-austrian-black-pine,7.0,Pinus nigra,"Austrian Black Pine (Pin noir) is a hardy species of pine native to the alps. It is often planted as a tree in landscaping for its rugged growth habit and low maintenance requirements. Germination for this pine is relatively easy, achieving good germination rates without any pre-treatment, but cold stratification is recommended for best results.",Germination: Soak seeds for 24 hours in water. Mix the seeds and soil mixture into a bag and place it in the fridge for 4 weeks. Place into your seed tray and germinate. Make sure seeds do not dry out during treatment.,28
Bald cypress,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-bald-cypress,9.0,Taxodium distichum,"Bald Cypress is native to the southern USA and grows up into the east coast. This tree is a deciduous conifer that enjoys wetlands and can grow in standing water. Known for its soft foliage and spherical seeds, it can grow in drier areas as well. ",Germination: Soak in water for 24 hours. Cold stratify for 90 days. Plant 1-2cm deep in sterile potting mix.,90
Balsam fir,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-balsam-fir,5.0,Abies balsamea,"Balsam fir (Sapin baumier) is native to eastern Canada, and the only type of fir tree native to this region. Typically 15-20 m tall, with a dense conical shape. Leaves are needle-like but flat, 2-3cm long, dark green, with two white bands on the underside. Cones grow upright, 4-8cm long, with a dark purple colour. Tolerant of shade, as well as cold northern conditions. It is an important part of the northern boreal forest in which it thrives. The tree often has a wide spreading root system and can grow in wetter soils.","Germination: Soak seeds in water for 24 hours. Place in a cold fridge at 4C for 30-45 days. Sow in a pot 1cm below the earth, watering regularly to keep moist.",30
Bitternut hickory,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-bitternut-hickory,10.0,Carya cordiformis,"Bitternut hickory is a cold-hardy hickory native to Ontario and Quebec. It is a large tree, growing up to 35m with a trunk up to 1m in good climates. Unlike the shagbark hickory, bitternut hickory has unpalatable taste as the name implies. It prefers moist sites such as valleys, riverbanks and swamplands but can also grow in nutrient poor soils and drier sites. <br/>",Germination: Soak in water for 24 hours. Cold stratify for 90 days and then plant in moist sandy soil for best results. ,90
Black cherry,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-black-cherry,9.0,Prunus serotina,"Black cherry (Cerisier noir) is a valuable forest tree that grows to large size in eastern North America. The bark is dark gray and scaly in mature individuals and this tree prefers well drained, fully sunny sites. As a pioneer species, it is well-suited for old fields or forest edges. It grows fast and large trees can grow to over 20m tall and 1m wide.","Germination: Seeds require warm pre-treatment at around 20 degrees C for 2 weeks, then a cold period at 4 degrees C for approximately 18 weeks in a well-drained substrate.",14
Black locust,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-black-locust,6.0,Robinia pseudoacacia,Black locust (Robinier faux-acacia) is a medium-sized deciduous hardwood tree that grows in Ontario and Quebec as well as the eastern US states. A member of the legume family (fabaceae) it has large white pea-like flowers in the summer and seed pods that resemble beans in the fall season. It is a straight-growing tree with a narrow crown that reaches between 15-30m in height. Exceptional specimens are over 50m tall and exceeding 1.5m in diameter.,"Germination: Soak in very hot water, let stand for 24 hours. Plant 1-2cm deep in a mulched soil bed. ",-1
Black spruce,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-black-spruce,6.0,Picea mariana,"Black spruce (Épinette noir) is native to all provinces and territories of Canada. A common tree of the boreal forest and wetlands, black spruce grows well in bogs and lowland acidic soil conditions. Compared to white spruce, black spruce has relatively shorter needles and grows in a more slender and tall form. Its cones are approximately 2-4 cm long and more rounded than white spruce. <br/>",Germination: Soak in water for 24 hours and then plant 1-2cm deep in sterile potting soil. No cold stratification required.,-1
Black walnut,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-black-walnut,8.0,Juglans nigra,"Black walnut is an important hardwood tree in Canada's eastern forests especially in southern Ontario. Large trees can grow over 30m in height and 1m in diameter, living to over 300 years old. Its light green compound leaves are pinnate, arranged alternately on the stem. The bark is furrowed with a grey-brown colour and often forms a diamond pattern. Mature trees produce large nuts with a green husk which turns black as it decays, the seeds are sought after by wildlife such as squirrels.<br/>",Germination: Soak in water for 24 hours. Cold stratify for 120 days and plant in a sunny location.,120
Butternut,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-butternut,20.0,Juglans cinerea,"Butternut is a species of walnut that grows in Eastern Ontario and Quebec. Also known as white walnut, it has a lighter bark and much more irregular growth habit than black walnut with many branches. It prefers rich, well drained soils by streams, not high and dry sites with poor soil. This species was much more prevalent in Canada before the introduced butternut canker disease. Although, some individual trees that were immune live on. The compound leaves are alternate and pinnate, with 11-17 leaflets and a terminal leaflet at the end of the stalk. The seeds are heavy, shaped like an elongated lime and have a green husk that is sticky to the touch. They occur in bunches of 2-6. The name of the butternut is derived from the edible seeds.",Germination: Soak in water for 24 hours. Then cold stratify for 120 days at 4 degrees C in potting soil. Plant outdoors in well-drained soil in a sunny location.,120
Chinese fir,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-chinese-fir,8.0,Cunninghamia lanceolata,"Cunninghamia is a genus of one or two species in the cypress family referred to in short as China-fir for where it is naturally found and its superficial resemblance to a fir tree. A unique evergreen conifer, it can grow in the warmer parts of British Columbia. Widely grown as an ornamental and timber tree in its native China, it is a very heat-tolerant conifer. It can grow up to 50m at maturity. Leaves are needle-like, green, 5cm long, 2-3mm wide with two white stomatal bands underneath. Cones are brown, 2-3 cm long, round and mature every year. This species prefers full sun and sheltered location with loamy well drained soil for best growth.<br/>",Germination: Soak in water for 24 hours. Cold stratify for 30 days. Plant in a moist soil substrate 2-3cm deep.,30
Taiwania,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-taiwania,6.0,Taiwania cryptomerioides,"Known also as Chinese coffin tree, this rare species of conifer is endemic to Taiwan as the name suggests. It is a large, evergreen tree in the cypress family. One of the largest tree species in Asia, it can measure over 90m or 300 feet in height fully grown. It prefers hot, rainy climates and is native to Vietnam, China and Laos.","Germination: Soak seeds in water for 24 hours. Sow in moist potting soil afterwards, keeping soil wet with occasional spraying with water. Allow 2-3 weeks for seedling emergence. Seedlings will germinate faster in warmer temperatures (20 C).",14
Chinese white pine,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-chinese-white-pine,8.0,Pinus armandii,"Chinese white pine, also known as Armand's pine, is a species of white pine that produces numerous large cones and seeds. This edible nut-bearing pine tree is native to central China and is hardy up to zone 5. Like other white pines, it has needles in bundles of five. The long, soft foliage takes on an attractive deep green colour with bright green new shoots in the spring and summer and is similar to Eastern White Pine in appearance save for the distinctive larger, heavier cones. Seedlings are easy to grow, and germination is simple without much stratification.","Germination: Allow 2-3 weeks for germination to start, keep seeds warm and moist but not saturated with water.",14
Chokecherry,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-chokecherry,8.0,Prunus virginiana,"This species of cherry is native to all provinces in Canada, making it a very wide-ranging tree. It grows to a small shrub size, roughly 1-6m tall, sometimes exceeding 10m in good conditions. The leaves are green, oval, 3-10cm long and finely serrated. The numerous flowers are produced in long racemes of many individual buds. The fruit is 6-12mm in size and ranges from bright red to dark red or almost black with a very astringent taste.<br/>","Germination: Soak in water for 24 hours, then cold stratify for 60-90 days. Sow seed 1-2cm deep in a mulched seed bed in warm temperatures to germinate.",60
Colorado blue spruce,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-colorado-blue-spruce,6.0,Picea pungens,"Colorado blue spruce (Épicéa bleu) is native to the rocky mountains of the western United States. Blue spruce is widely planted in Canada on residential properties and parks, as it is slow growing, long-lived and cold hardy. Often its pointy needles display a strikingly blue hue of colour but many are also more green than blue. As with any seedlings, there is natural variation to be expected.","Germination: Soak seeds in water for 24 hours, then sow in fresh potting soil. Keep soil moist until signs of germination. A short cold stratification period of 2 weeks at 4 degrees C helps increase germination rate.",14
Coulter pine,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-coulter-pine,18.0,Pinus coulteri,"Known as Coulter's pine, this large pine tree native to California has the world's largest cones in terms of mass of any pine.  Its height can range from 15-30m and in mature trees the trunk diameter can reach 1m. The needles are gray-green in colour, in groups of 3, and 15-25cm long. Cones are massively large, 20-40cm in length and weighing between 2-5 kg each. ",Germination: Soak in water for 24 hours. Cold stratify for 60 days. Plant 2-3cm deep in a moist soil substrate. ,60
Dawn redwood,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-dawn-redwood,8.0,Metasequoia glyptostroboides,"Dawn redwood (M<span data-mce-fragment=""1"">étaséquoia de Chine or </span>also Sapin d'eau in French) is an ancient ""living fossil"" tree originating in central China, thought to be extinct until as recently as 1943. It is now a popular ornamental tree grown in a wide range of temperate climates. It is able to thrive in standing water, and its roots can form large 'boles' common in other semi-aquatic trees. It prefers moist or saturated soils, and can grow at a fast rate compared to other trees. A deciduous conifer, it has soft leaves that give it very attractive foliage. It is hardy to Zone 5 or -32 degrees C which makes it suitable for many locations in Canada. This species doesn't tolerate drought well and should be planted near a body of water such as a pond or river for best results.","Germination: Soak in water for 24 hours, keep in a well-drained, moist pot and water periodically to keep soil moist. Expect germination within 2-3 weeks at 22 degrees C.",14
Douglas fir,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-douglas-fir,8.0,Pseudotsuga menziesii,"Douglas-fir (Sapin de Douglas) is a coniferous evergreen that can grow to very large sizes under the right conditions, which requires adequate rainfall and growing degree-days. It prefers neutral to acidic soil but can thrive on a variety of sites. This species enjoys full sun and drier areas with good drainage. Hardy to zone 5.",Germination: Allow seeds to soak in water for 24 hours. Place in a well-watered soil substrate and wait 1-2 weeks for germination.,7
Dunkeld larch,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-dunkeld-larch,9.0,Larix x eurolepis,"This species of larch is a hybrid cross of European larch (Larix laricina) and Japanese larch (Larix kaempferi). It is a durable and hardy tree that can enjoy a variety of climates. The characteristics are intermediate between the two species that it is a hybrid of, often carrying the cones of Japanese larch and the foliage of European larch. ",Germination: Soak in water for 24 hours. Plant in a moist soil medium and do not let dry out. Wait 2-3 weeks for germination.,14
Eastern hemlock,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-eastern-hemlock,7.0,Tsuga canadensis,"Also known as Canadian hemlock, this is a coniferous tree native to eastern Canada from Ontario to Nova Scotia. It grows well in shade and often inhabits northern-facing slopes, enjoying cool and humid conditions. The foliage is dark green and soft, with many short leaves. Seed cones are small and papery. Often found growing with pines and cedars and in mixed deciduous forests. It is a slow-growing tree that can live to over 500 years old.","Germination: Soak in water for 24 hours, then cold stratify for 60 days. Sow in a potting mix 1-2cm deep and keep from drying out. Seedlings require shade.",60
Eastern juniper,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-eastern-juniper,5.0,Juniperus virginiana,"Also known as eastern red-cedar or Genévrier de Virginie in French, this juniper is a medium sized tree that grows throughout southern Ontario. Known for its aromatic, red wood and bright blue juniper berries it is a common tree to populate newly-cleared sites and enjoys full sun. The wood, which is light and brittle, was once commonly used for pencils. The tree grows to heights 20m+ in good sites and can live up to 100 years or more. <br/>","Germination: Soak in cold water for 24 hours. Cold stratify for 90-120 days at 4 C, then plant 1-2cm deep in a seed bed. Keep moist to allow for germination.<br/>",90
Eastern redbud,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-eastern-redbud,7.0,Cercis canadensis,"Named for its pink and magenta flowers in springtime, this is a small sized deciduous tree that is a popular ornamental. It grows up to 10m tall and has a broad crown. Commonly grown in parks and gardens due to ease of maintenance. It has green, heart-shaped leaves and produces legume-shaped seedpods in the fall.",Germination: Soak in hot tap water and let sit for 24 hours. Cold stratify for 60 days and plant 1cm deep in a seed bed. Keep soil moist.,60
Eastern white cedar,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-eastern-white-cedar,5.0,Thuja occidentalis,"Eastern white cedar (Thuya occidental) is a coniferous tree that is very long-lived. It is common in the northern forests of eastern Canada, particularly in Ontario and Quebec. Its soft needles and deep green foliage make it an attractive tree for hedges and gardens. This tree enjoys well drained soils and limestone rock. It is capable of growing over 1000 years old in the right conditions.","Germination: Cold-stratify for at least 30 days. Sow 2cm deep in moist soil, allow 2-3 weeks for seedling emergence. Generally, an easy species of conifer to grow even without cold stratification.",14
Eastern white pine,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-eastern-white-pine,7.0,Pinus strobus,"Also known as Northern white pine or Pin blanc in French, this is the tallest species of tree in eastern North America. This fast-growing conifer can survive in a diverse range of conditions, but prefers full sunlight, well-drained soil and sandy sites. ","Germination: Stratify in cold for 4 weeks, then plant in moist soil. Seedlings should emerge in 20-28 days. Keep in a well-drained potting mix. Do not allow substrate to dry out during germination.",28
Engelmann spruce,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-engelmann-spruce,9.0,Picea engelmanii,"Engelmann spruce is a tree native to Canada's western Rocky Mountains. It ranges from central British Columbia to Alberta, and grows predominantly 500m above sea level up to 3650m in extreme cases. It grows approximately 25-40m tall and 50cm wide with some specimens exceeding 65m and a trunk diameter up to 1.5m or more.","Germination: Soak in water for 24 hours, then sow 1-2cm deep in moist potting soil. <br/>",-1
European aspen,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-european-aspen,12.0,Populus tremula,European aspen (poplar) is a common deciduous tree native to Europe which can grow well into the Arctic circle and cold climates. In good conditions it can grow to 40m tall and over 1m wide in exceptional circumstances. Similar to the legendary Swedish Columnar Aspen.,"Germination: Soak in water, let stand in water for 12 hours. Sow 1cm deep and keep moist. ",-1
European mountain ash,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-european-mountain-ash,7.0,Sorbus aucuparia,"European Mountain Ash, commonly called rowan, is a small tree native to Europe with a natural range that reaches to east Asia. Often growing multiple trunks, it is a shrubby tree that has compound leaves with 4-9 pairs of leaflets. The fruit is a cluster of small pomes that are red to orange in colour and very decorative in the fall season. It prefers full sun locations with well drained soil for best growth. ","<div class=""col-md-4 col-sm-12 text-center"">Germination: Soak in water for 24 hours. Cold stratify for 180 days, warm stratify for 2 to 4 weeks. Seeds can be sown outdoors in the fall for spring germination, sow seed 1-2cm and keep seeds from drying out. </div>",28
Flowering dogwood,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-flowering-dogwood,7.0,Cornus florida,"Flowering dogwood is a small tree native to southern Ontario that grows up to 10m in height. The leaves are ovate and turn a rich red brown in the fall season. The fruit produced by this tree contains 2-10 seeds. This tree enjoys forest edges and dry ridge habitats as its ideal location. Although the individual flowers are small and clustered in the middle, the large white bracts around the flower give the tree its name and attractive aesthetic quality. <br/>","Germination: Soak in water for 24 hours, cold stratify for 90-120 days. Sow 1-2cm deep in soil medium and wait for seedlings to emerge. ",90
Fraser fir,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-fraser-fir,8.0,Abies fraserii,"Fraser fir is a shorter-needled relative to Balsam fir that grows in the mountainous ranges of the eastern Appalachians.  Known as the typical Christmas tree, it has a conical crown with branches angled upwards from the trunk. It usually grows 10-15m tall but can reach 25m+ in some specimens. The bark is thin, smooth and grey with resin blisters on young trees with scaly fissured bark on mature trees. The bright green leaves are known for their pleasant smelling aroma, and feature a two distinct white stripes on the underside.",Germination: Soak in water for 24 hours. Cold stratify for 30-60 days and plant 1-2cm deep in soil. ,30
Freeman maple,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-freeman-maple,5.0,Acer x freemanii,"Freeman maple is a hybrid of acer rubrum (red maple) and acer saccharinum (silver maple) that combines characteristics of each. Where the species overlap, wild hybrids can be found. The leaves are similar to red maple with deeper lobes but can have a silver underside of the leaf as well. It grows quickly, with a narrow crown of ascending branches to roughly 15-20m tall. As with red maple, it has a vibrant leaf colour in autumn. ",Germination: Soak in water for 24 hours. Cold stratify for 30 days. Plant 1-2cm deep in a sterile potting medium.,30
Giant sequoia,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-giant-sequoia,18.0,Sequoiadendron giganteum,"Known in California as the redwood tree, or Séquoia géant in French, Giant sequoias can grow to become the largest trees on earth. An extremely fast growing evergreen tree, it can put on a significant amount of height and diameter every year if given good growing conditions. This tree is cold hardy up to zone 5 and can withstand cold winters under heavy snow. Avoid planting in a dry area, as giant sequoias need a sizeable amount of water during the growing season and can die if the roots dry out. Ensure to leave adequate space for eventual growth of a very large tree.","Germination: Soak the seeds in water for 24h and cold stratify for 1-2 weeks. Plant into a moist soil substrate and be careful not to let the seedlings dry out. For best germination, use a plastic bag with moist paper towel and remove seeds when root begins to show.",7
Ginkgo,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-ginkgo,9.0,Ginkgo biloba,"A very unique tree. Ginkgo trees can grow large, over 30m tall with extreme specimens reaching over 50m in good climates. A very hardy and long-lived tree, it is often planted in urban environments, parks and temples. Its unique foliage gives its name, for the leaves often have two lobes, although not always. The trees are dioecious, with male and female trees. The female ginkgo tree produces a fruit that ripens to an orange colour in the fall time, and contains a thinly-shelled seed within.","Germination: Soak in water for 24 hours. Cold stratify for 60 days, then plant in a mulched seed bed.",60
Golden larch,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-golden-larch,8.0,Pseudolarix amabilis,"Golden larch is a species of tree native to eastern China and though not a true larch, is a deciduous conifer and the only species in the genus Pseudolarix. Approximately reaching 30m in height this tree has bright green foliage that turns a golden colour in the fall time. Cones are approximately 4-5cm wide and 3-4cm long shaped like an artichoke. A rare ornamental tree, this species enjoys warmer climates and hot summers.",Germination: Soak in water for 24 hours. Cold stratify for 60 days. Sow seeds 1-2cm deep in moist potting soil.,60
Gray pine,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-gray-pine,18.0,Pinus sabiniana,"Also known as foothill pine or ghost pine, this species is endemic to California. Notable for its large cones and heavy seeds, the pine nuts have been used as a food source by the native peoples of the region. It typically grows to 15m height, occasionally reaching 35m or more. Needles have a distinct pale grey and green colour, which grow in bundles of 3. The cones are very large, over 20cm long and often weighing more than a kilogram. Gray pine enjoys full sunlight and naturally inhabits lower elevation hillsides.","Germination: Soak in water for 24 hours, then cold stratify for 120 days. Seeds require a long cold period to reliably break dormancy.",120
Great basin bristlecone pine,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-great-basin-bristlecone-pine,12.0,Pinus longaeva,"Great Basin bristlecone pine is one of the longest-lived species of pine and native to mountains and high-altitude regions of California, Nevada and Utah in the United States. A medium-sized tree 5-15m tall that has bright green needles in groups of five, approximately 3-4cm long that have remarkable persistence on the tree, sometimes living up to 45 years before being shed. Cones are 5-10cm long, 3-4cm wide and oval shaped, with seeds that have a small wing.<br/>",Germination: Soak in water for 24 hours. Then sow in a moist potting soil 2-3cm deep.,-1
Hickan,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-hickan,15.0,Carya aquatica x illinoensis,"The Hickan is a unique hybrid between the pecan and hickory tree. This is a southern hybrid between water hickory and pecan, hardy to zone 7. Known to be a fast-growing species, the water hickory combined with the larger nut size of the pecan makes for an interesting hybrid tree. The seeds however, have a bitter taste unlike pecan. <br/>","Germination: Soak in water for 24 hours, repeat process for 2-3 days. Place in soil and cold stratify for 90 days. Plant in warm soil in a sunny location.",2
Himalayan white pine,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-himalayan-white-pine,7.0,Pinus wallichiana,"<span data-mce-fragment=""1"">Himalayan white pine is native to the Himalayan, Hindu Kush, and Karakoram mountains, as well as from Afghanistan east across northern Pakistan and India to southwest China. It grows in mountain valleys at high altitudes, and grows up to 30–50 m in height. This tree enjoys a temperate climate with dry winters and wet summers.</span><br/>",Germination: Soak in water for 24 hours. Cold stratify for 90 days.,90
Hybrid red black spruce,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-hybrid-red-black-spruce,5.0,Picea mariana x rubens,"This hybrid seed resulted from a cross between black spruce with red spruce. Usually separate species, the black spruce (picea mariana) grows well primarily in bogs and wet soils whereas the red spruce (picea rubens) excels in higher, drier areas. The yellow-green needles of the red spruce contrast the grey-blue-green colour of the black spruce. Often hybrids commonly have intermediate features between the two parent species, sometimes outperforming both in growth and reproduction.","Germination: Soak in water for 24 hours and sow in moist soil. Wait for 2-3 weeks for germination of seeds. Prefers a continuously moist, but well-drained soil during the initial growth phase.",14
Jack pine,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-jack-pine,4.0,Pinus banksiana,"An important tree in the boreal forests of Canada, it grows in extreme cold climates and on rocky soil. The needles are green, twisted and in pairs of two. The bark of mature trees is dark gray and scaly. This tree grows up to 25m tall in good conditions and can live over 100 years. In the wild, Jack pine relies on regular forest fires for the dispersal of seed from its cones, which do not usually open unless exposed to vhigh temperatures. Often the cones stay on the branch for many years, up to a decade or more. This makes Jack pine a distinctive looking tree compared to other native pines in Canada.","Germination: A very easy pine to grow, with fast germination results even without per-treatment. Soak in water for 24 hours and add to a moist potting soil and sand mixture. Allow 1-2 weeks for germination. Keep soil moist.",7
Japanese cedar,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-japanese-cedar,8.0,Cryptomeria japonica,"Known in Japan as Sugi, and Cryptomère du Japon or Cèdre du Japon French, this tree is a very large evergreen tree. It can reach up to 70m tall in favorable conditions with a trunk diameter exceeding 4m. The green needles are arranged spirally, 1cm long with cones that are small and globular 1-2cm in diameter, with 20-40 scales.  Its red coloured wood is low density, fragrant and resistant to insects. ","Germination: Soak in water for 24 hours, then cold-stratify for 90 days. Plant in warm soil 1-2cm deep and keep moist until seedlings emerge. ",90
Japanese maple,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-japanese-maple,9.0,Acer palmatum,"Japanese maple is known for its aesthetically pleasing, narrow form and leaves. This particular variety has a leaf that turns a bright red crimson colour in the fall time giving it a spectacular effect in the garden. Generally a small tree, it doesn't grow very fast or require a lot of space. ",Germination: Cold stratify for 120 days then plant 2-3cm deep in moist soil. ,120
Sciadopitys,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-sciadopitys,8.0,Sciadopitys verticillata,"Known in Japan as Koyamaki, or informally as Japanese umbrella pine, and in French Pin parasol du Japon, this tree is a very unique conifer. It is the only member of its botanical genus, distinguished by its whorls of 20-30 unique leaves - actually a modified type of stem tissue known as cladodes. A distinctive tree, it is slow-growing and enjoys mild temperatures. It is tolerant of shade, or full sunlight and generally prefers acidic soil. Very rare seed, limited quantity available.","Germination: Soak in water for 24 hours. Cold stratify for 90 days in a moist potting soil, then plant under 1cm of soil in pots. Keep soil moist, slow to germinate.",90
Katsura tree,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-katsura-tree,8.0,Cercidiphyllum japonicum,"Katsura tree is native to Japan and China. It grows quickly, often to heights of 20m or more. Notable for its heart-shaped leaves, it gives off a unique sweet smell in the autumn when the leaves fall from the tree. It is an excellent ornamental tree and grows well in moist fresh soils. ",Germination: Soak seeds for 24 hours in water. Plant in moist potting soil and await germination. ,-1
Korean fir,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-korean-fir,7.0,Abies koreana,"A common fir tree in East Asia. This grows well in cooler climates and is known for producing cones at an early age and its highly contrasting leaves. Popular in landscaping because of its attractive foliage and small size. It prefers full sun and moist, rich soil. ",could not find info,-1
Korean pine,https://treeseeds.ca/collections/tree-seeds/products/tree-seed-korean-pine,9.0,Pinus koraensis,"Korean pine is a cold-hardy, edible nut-bearing white pine. One of the best tasting pine nuts available for cold climates, as this species is native to northern China and eastern Russia. Needles are in groups of 5, with a green colour. This tree produces larger cones with edible seeds commonly called pine nuts. ","Germination: Soak in water for 24 hours, then place in a sterile soil medium in a breathable bag and cold-stratify at 4C for 30-45 days for best germination results. (We've received feedback that warm stratification may also be a viable method of germination for this seed.)",30
